ActorFirstName,ActorLastName,Movie
Sidharth,Malhotra,Ek villain
Salman,Khan,Ek tha tiger
Aamir,Khan,Taare zameen par
John,Ibrahim,Parmanu
Hrithik,Roshan,Bang bang
Ranveer,Singh,Simmba
Ranbir,Kapoor,Rockstar
Tiger,Shroff,Baaghi
Akshay,Kumar,Hera pheri
Ajay,Devgn,Singham
Amitabh ,Bachhan,Deewar
Sunny,Deol,Gadar
Abhishek,Bacchan,Guru
Imran,Khan,Delhi Belly
Rajkumar,Rao,Stree
Aditya,Roy,Malang
Saif Ali,Khan,Race
Shah Rukh,Khan,Chennai Express
Sanjay,Dutt,Munna Bhai
Vicky,Kaushal,Uri
Varun,Dhawan,October
Ayushman,Khurana,Andhadhun
Bobby,Deol,Soldier
Arjun,Kapoor,Panipat
